full_name,Country,National_party,political_group,role
Emilio MOLINARI,Italy,Democrazia proletaria,"Rainbow Group: Federation of the Green-Alternative European Links, Agelev-Ecolo, the Danish People's Movement against Membership of the European Community and the European Free Alliance in the European Parliament",Substitute
Joseph A. MOMMERSTEEG,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian-Democratic Group),Member
Alberto MORAVIA,Italy,Partito comunista italiano,Communist and Allies Group,Substitute
Raúl MORODO LEONCIO,Spain,Centro Democràtico y Social,Liberal and Democratic Reformist Group,Member
Giovanni MORONI,Italy,Partito socialista democratico italiano,Socialist Group,Substitute
David R. MORRIS,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Giuseppe MOTTOLA,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Jean MOUCHEL,France,Défence des intérêts de la France en Europe,Group of the European Democratic Alliance,Substitute
Ernst MÜLLER-HERMANN,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Alessandro NATTA,Italy,Partito comunista italiano,Communist and Allies Group,
Angelo NARDUCCI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Jacqueline NEBOUT,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Egbert NITSCH,Germany,Bündnis 90/die Grünen,"Rainbow Group: Federation of the Green-Alternative European Links, Agelev-Ecolo, the Danish People's Movement against Membership of the European Community and the European Free Alliance in the European Parliament",Substitute
Franz-Josef NORDLOHNE,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Sir Tom NORMANTON,United Kingdom,Conservative and Unionist Party,European Democratic Group,Substitute
Harry A.C.M. NOTENBOOM,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian-Democratic Group),Vice-Chair
Wolfgang von NOSTITZ,Germany,Bündnis 90/die Grünen,"Rainbow Group: Federation of the Green-Alternative European Links, Agelev-Ecolo, the Danish People's Movement against Membership of the European Community and the European Free Alliance in the European Parliament",Substitute
Diego NOVELLI,Italy,Partito comunista italiano,Communist and Allies Group,Member
Kai NYBORG,Denmark,Fremskridtspartiet,Group of European Progressive Democrats,Chair
John O'CONNELL,Ireland,Labour Party,Socialist Group,Member
Flavio ORLANDI,Italy,Partito socialista democratico italiano,Socialist Group,Member
Dimitrios PAGOROPOULOS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Member
Giancarlo PAJETTA,Italy,Partito comunista italiano,Communist and Allies Group,Member
Loyola de PALACIO VALLELERSUNDI,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Roger PALMIERI,France,Front national,Group of the European Right,Member
Apostolos PAPAGEORGIOU,Greece,Komma Proodevtikon,Non-attached,Member
Nikolaos PAPAKYRIAZIS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Substitute
Giovanni PAPAPIETRO,Italy,Partito comunista italiano,Communist and Allies Group,Vice-Chair
Mihail PAPAYANNAKIS,Greece,Synaspismos tis Aristeras kai tis Proodou,Confederal Group of the European United Left/Nordic Green Left,Member
Eolo PARODI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Substitute
Roger PARTRAT,France,Union pour la démocratie française - Centre des démocrates sociaux,Group of the European People's Party (Christian-Democratic Group),Member
Karl PARTSCH,Germany,Bündnis 90/die Grünen,Liberal and Democratic Reformist Group,Member
Paolo PASTORELLI,Italy,Cristiani democratici uniti,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Jean-Claude PASTY,France,Rassemblement pour la République,Group Union for Europe,Substitute
René A.L. PAULHAN,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Mario PEDINI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
