full_name,Country,National_party,political_group,role
Alexandru NAZARE,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Cătălin-Ioan NECHIFOR,Romania,Partidul Social Democrat,Socialist Group in the European Parliament,Member
Clive John NEEDLE,United Kingdom,Labour Party,Group of the Party of European Socialists,Member
Zsolt NÉMETH,Hungary,Fidesz-Magyar Polgári Szövetség,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Giovanni NEGRI,Italy,Partito radicale,Non-attached,Member
Riccardo NENCINI,Italy,Partito socialista italiano,Group of the Party of European Socialists,Substitute
Catherine NERIS,France,Parti socialiste,Socialist Group in the European Parliament,Member
Harald NEUBAUER,Germany,Die Republikaner,Non-attached,Member
Lore NEUGEBAUER,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Substitute
Arthur Stanley NEWENS,United Kingdom,Labour Party,Group of the Party of European Socialists,Member
Edward NEWMAN,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Dimitrios NIANIAS,Greece,Dimokratiki Ananeossi,Group of the European Democratic Alliance,Member
Baroness NICHOLSON OF WINTERBOURNE,United Kingdom,Liberal Democrat Party,Group of the Alliance of Liberals and Democrats for Europe,Member
Sir David Lancaster NICOLSON,United Kingdom,Conservative and Unionist Party,European Democratic Group,Member
Jørgen Brøndlund NIELSEN,Denmark,Venstre,Liberal and Democratic Reformist Group,Substitute
Tove NIELSEN,Denmark,Venstre,Liberal and Democratic Reformist Group,Member
Kalliopi NIKOLAOU,Greece,Panellinio Socialistiko Kinima,Socialist Group,Member
Konstantinos NIKOLAOU,Greece,Panellinio Socialistiko Kinima,Socialist Group,Member
Giuseppe NISTICO',Italy,Forza Italia,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Mauro NOBILIA,Italy,Alleanza nazionale,Union for Europe of the Nations Group,Vice-Chair
Hans R. NORD,Netherlands,Volkspartij voor Vrijheid en Democratie,Liberal and Democratic Reformist Group,Substitute
Camilo NOGUEIRA ROMÁN,Spain,Bloque Nacionalista Galego,Group of the Greens/European Free Alliance,Member
Jean-Thomas NORDMANN,France,Union pour la France en Europe,"Group of the European Liberal, Democrat and Reform Party",Member
Charles-Ferdinand NOTHOMB,Belgium,Parti social-chrétien (Parti populaire européen),Group of the European People's Party (Christian-Democratic Group),Member
Ljudmila NOVAK,Slovenia,Nova Slovenija,Group of the European People's Party (Christian Democrats),Member
Honório NOVO,Portugal,Partido Comunista Português,Confederal Group of the European United Left/Nordic Green Left,Member
Hervé NOVELLI,France,Démocratie libérale,"Group of the European Liberal, Democrat and Reform Party",Substitute
Alfonso NOVO BELENGUER,Spain,Coalición Nacionalista,Group of the European Radical Alliance,Substitute
Wolfgang NUßBAUMER,Austria,Freiheitliche Partei Österreichs,Non-attached,Substitute
Achille OCCHETTO,Italy,Partito comunista italiano,Socialist Group in the European Parliament,Member
Christine Margaret ODDY,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Jean A. OEHLER,France,Parti socialiste,Socialist Group,Member
Tom G. O'DONNELL,Ireland,Fine Gael Party,Group of the European People's Party (Christian-Democratic Group),Member
Vural ÖGER,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group in the European Parliament,Substitute
The Lord O'HAGAN,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Substitute
Outi OJALA,Finland,Vasemmistoliitto,Confederal Group of the European United Left/Nordic Green Left,Substitute
Juan OJEDA SANZ,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Jens Dyhr OKKING,Denmark,JuniBevægelsen,Confederal Group of the European United Left/Nordic Green Left,Substitute
Péter OLAJOS,Hungary,Magyar Demokrata Fórum,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Michael O'LEARY,Ireland,Labour Party,Socialist Group,Member
Kjeld OLESEN,Denmark,Socialdemokratiet,Socialist Group,Member
Francisco OLIVA GARCIA,Spain,Partido Socialista Obrero Español,Socialist Group,Member
Flor O'MAHONY,Ireland,Labour Party,Socialist Group,Member
(Chris) Christopher Gerard O'MALLEY,Ireland,Fine Gael Party,Group of the European People's Party (Christian-Democratic Group),Substitute
Karl Erik OLSSON,Sweden,Centerpartiet,"Group of the European Liberal, Democrat and Reform Party",Substitute
Seán Ó NEACHTAIN,Ireland,Fianna Fáil Party,Union for Europe of the Nations Group,Member
Gérard ONESTA,France,Les Verts-Europe-Ecologie,Group of the Greens/European Free Alliance,Substitute
Leyla ONUR,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Member
Janusz ONYSZKIEWICZ,Poland,Unia Wolnosci,Group of the Alliance of Liberals and Democrats for Europe,Member
Arie M. OOSTLANDER,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Jeanette OPPENHEIM,Denmark,Det konservative folkeparti,European Democratic Group,Substitute
Dumitru OPREA,Romania,Partidul Liberal Democrat,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Marcelino OREJA,Spain,Partido Popular,Group of the European People's Party (Christian-Democratic Group),Member
Marcelino OREJA ARBURÚA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Leopoldo ORTIZ CLIMENT,Spain,Partido Popular,Group of the European People's Party (Christian-Democratic Group),Substitute
Leoluca ORLANDO,Italy,La Rete movimento democratico,Group of the Greens/European Free Alliance,Member
Maria del Carmen ORTIZ RIVAS,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Jyrki OTILA,Finland,Kansallinen Kokoomus,Group of the European People's Party (Christian-Democratic Group),Member
Josu ORTUONDO LARREA,Spain,Partido Nacionalista Vasco,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Barbara O'TOOLE,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Aristidis OUZOUNIDIS,Greece,Panellinio Socialistiko Kinima,Socialist Group,Member
Cem ÖZDEMIR,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Member
Saara-Maria PAAKKINEN,Finland,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Group of the Party of European Socialists,Substitute
Pedro PACHECO HERRERA,Spain,Partido Andalucista,Rainbow Group in the European Parliament,Substitute
Pertti PAASIO,Finland,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Group of the Party of European Socialists,Substitute
Reino PAASILINNA,Finland,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Socialist Group in the European Parliament,Member
José PACHECO PEREIRA,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Elena Ornella PACIOTTI,Italy,Democratici di Sinistra,Group of the Party of European Socialists,Member
Maria Grazia PAGANO,Italy,Partito Democratico,Socialist Group in the European Parliament,Member
Borut PAHOR,Slovenia,Združena lista socialnih demokratov,Socialist Group in the European Parliament,Substitute
Ian R.K. PAISLEY,United Kingdom,Democratic Unionist Party (Northern Ireland),Non-attached,Substitute
Aline PAILLER,France,Parti communiste français,Confederal Group of the European United Left/Nordic Green Left,Substitute
Alena PALEČKOVÁ,Czechia,Občanská demokratická strana,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Ana PALACIO VALLELERSUNDI,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Chair
Veronica PALM,Sweden,Socialdemokratiska arbetarepartiet,Group of the Party of European Socialists,Vice-Chair
Stylianos PANAGOPOULOS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Substitute
Marie PANAYOTOPOULOS-CASSIOTOU,Greece,Nea Dimokratia,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Gabriele PANIZZI,Italy,Partito socialista italiano,Group of the Party of European Socialists,
Konstantina PANTAZI,Greece,Panellinio Socialistiko Kinima,Socialist Group,Member
Efstratios PAPAEFSTRATIOU,Greece,Nea Dimokratia,Group of the European People's Party (Christian-Democratic Group),Member
Ioannis PAPANTONIOU,Greece,Panellinio Socialistiko Kinima,Socialist Group,Member
Atanas PAPARIZOV,Bulgaria,Coalition for Bulgaria,Socialist Group in the European Parliament,Substitute
Christiane PAPON,France,Rassemblement pour la République,Group of the European Democratic Alliance,Substitute
Christos PAPOUTSIS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Member
Gastone PARIGI,Italy,Alleanza nazionale,Non-attached,Substitute
Neil PARISH,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian Democrats) and European Democrats,Chair
Ioannis PATAKIS,Greece,Kommounistiko Komma Elladas,Confederal Group of the European United Left/Nordic Green Left,Member
Charles PASQUA,France,Rassemblement pour la France,Union for Europe of the Nations Group,Member
Agnieszka PASTERNAK,Poland,Sojusz Lewicy Demokratycznej,Group of the Party of European Socialists,Member
(Ben) George Benjamin PATTERSON,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Member
Séamus PATTISON,Ireland,Labour Party,Socialist Group,Vice-Chair
Béatrice PATRIE,France,Mouvement des citoyens,Socialist Group in the European Parliament,Substitute
Jeanne M. PAUWELYN,Belgium,Partij voor vrijheid en vooruitgang (Europese Liberalen en Demokraten),Liberal and Democratic Group,Member
Andrew PEARCE,United Kingdom,Conservative and Unionist Party,European Democratic Group,Member
Andrzej Lech PĘCZAK,Poland,Sojusz Lewicy Demokratycznej,Group of the Party of European Socialists,Member
Jorge PEGADO LIZ,Portugal,Partido Renovador Democratico,Group of the European Democratic Alliance,Member
Karla M.H. PEIJS,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Bogdan PĘK,Poland,Liga Polskich Rodzin,Union for Europe of the Nations Group,Substitute
Jean J.M. PENDERS,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian-Democratic Group),Member
Seppo Viljo PELTTARI,Finland,Suomen Keskusta,"Group of the European Liberal, Democrat and Reform Party",Member
Anastassios PEPONIS,Greece,Panellinio Socialistiko Kinima,Socialist Group,Member
Daniel PERCHERON,France,Parti socialiste,Socialist Group,Member
Manuel PEREIRA,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,Member
Virgílio PEREIRA,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,Vice-Chair
José PEREIRA LOPEZ,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,Member
Manuel PÉREZ ÁLVAREZ,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Luis Guillermo PERINAT ELIO,Spain,Coalición Popular,European Democratic Group,Member
Carlos PERREAU DE PINNINCK DOMENECH,Spain,Agrupación de Electores José María Ruiz-Mateos,Group of the European Democratic Alliance,Member
Hartmut PERSCHAU,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Substitute
Kristina PERSSON,Sweden,Socialdemokraterna,Group of the Party of European Socialists,Member
Roy PERRY,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian Democrats) and European Democrats,Vice-Chair
Nicole PERY,France,Parti socialiste,Group of the Party of European Socialists,Member
Helwin PETER,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Member
Mikko PESÄLÄ,Finland,Suomen Keskusta,"Group of the European Liberal, Democrat and Reform Party",Substitute
Eggert PETERSEN,Denmark,Socialdemokratiet,Socialist Group,Member
(Hans) Johannes Wilhelm PETERS,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Member
Maria PETRE,Romania,"Alianţei ""Dreptate si Adevar PNL-PD""",Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Luciano PETTINARI,Italy,Rifondazione comunista,Group of the Party of European Socialists,Substitute
Peter PEX,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Gabriele PEUS,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Vice-Chair
Gero PFENNIG,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Substitute
Tobias PFLÜGER,Germany,Partei des Demokratischen Sozialismus,Confederal Group of the European United Left - Nordic Green Left,Member
Flaminio PICCOLI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Jerzy PIENIĄŻEK,Poland,Sojusz Lewicy Demokratycznej,Group of the Party of European Socialists,Member
Filippos PIERROS,Greece,Nea Dimokratia,Group of the European People's Party (Christian-Democratic Group),Member
Yves PIÉTRASANTA,France,Les Verts-Europe-Ecologie,Group of the Greens/European Free Alliance,Vice-Chair
Kirsi Katariina PIHA,Finland,Kansallinen Kokoomus,Group of the European People's Party (Christian-Democratic Group),Substitute
Rihards PĪKS,Latvia,Tautas partija,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Eric PINEL,France,Mouvement pour la France,Non-attached,Member
Carlos PIMENTA,Portugal,Partido Social Democrata,Group of the European People's Party (Christian-Democratic Group),Substitute
Sergio PININFARINA,Italy,Partito liberale italiano,Liberal and Democratic Reformist Group,Substitute
João de Deus PINHEIRO,Portugal,Coligaçao Força Portugal (PPD/PSD.CDS-PP),Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Maria de Lourdes PINTASILGO,Portugal,Partido Socialista,Socialist Group,Member
Józef PINIOR,Poland,Socjaldemokracja Polska,Socialist Group in the European Parliament,Member
Jean-François A. PINTAT,France,Union pour la France en Europe,Liberal and Democratic Group,Member
Pedro Augusto PINTO,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,Substitute
Michel PINTON,France,Union pour la démocratie française,Non-attached,Member
Karel A.H.A.M. PINXTEN,Belgium,Christelijke Volkspartij,Group of the European People's Party (Christian-Democratic Group),Member
Umberto PIRILLI,Italy,Alleanza nazionale,Union for Europe of the Nations Group,Substitute
Edgard Edouard PISANI,France,Parti socialiste,Socialist Group,Member
Joaquim PISCARRETA,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Paweł Bartłomiej PISKORSKI,Poland,Platforma Obywatelska,Group of the Alliance of Liberals and Democrats for Europe,Member
Giuseppe PISICCHIO,Italy,Rinnovamento italiano - Dini,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Lapo PISTELLI,Italy,La Margherita,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Terrence J. (Terry) PITT,United Kingdom,Labour Party,Socialist Group,Substitute
Edouard C.M.P. DES PLACES,France,Rassemblement pour la République,Group of Independents for a Europe of Nations,Substitute
Luis PLANAS PUCHADES,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Spyridon PLASKOVITIS,Greece,Panellinio Socialistiko Kinima,Socialist Group,Member
Francisca PLEGUEZUELOS AGUILAR,Spain,Partido Socialista Obrero Español,Socialist Group in the European Parliament,Substitute
Zita PLEŠTINSKÁ,Slovakia,Slovenská demokratická a kresťanská únia,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Artur PLOKŠTO,Lithuania,Lietuvos Socialdemokratų Partija,Group of the Party of European Socialists,Member
Elly PLOOIJ-VAN GORSEL,Netherlands,Volkspartij voor Vrijheid en Democratie,"Group of the European Liberal, Democrat and Reform Party",Member
The Lord PLUMB,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Member
Radu PODGOREAN,Romania,Partidul Social Democrat,Socialist Group in the European Parliament,Member
Janez PODOBNIK,Slovenia,Slovenska Ljudska Stranka,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Bogdan Leszek PODGÓRSKI,Poland,Sojusz Lewicy Demokratycznej,Group of the Party of European Socialists,Member
Hans POETSCHKI,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Danilo POGGIOLINI,Italy,Patto Segni,Group of the European People's Party (Christian-Democratic Group),Vice-Chair
Zdzisław Zbigniew PODKAŃSKI,Poland,Polskie Stronnictwo Ludowe,Union for Europe of the Nations Group,Member
Samuli POHJAMO,Finland,Suomen Keskusta,Group of the Alliance of Liberals and Democrats for Europe,Member
Anne Christine POISSON,France,Majorité pour l'autre Europe,Group Union for Europe,Member
Bernard POIGNANT,France,Parti socialiste,Socialist Group in the European Parliament,Substitute
Lydie POLFER,Luxembourg,Parti démocratique,Group of the Alliance of Liberals and Democrats for Europe,Member
Anita Jean POLLACK,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
José Javier POMÉS RUIZ,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Adriana POLI BORTONE,Italy,Alleanza nazionale,Union for Europe of the Nations Group,Member
Alain POMPIDOU,France,Rassemblement pour la République,Group Union for Europe,Member
Michel C. PONIATOWSKI,France,Union pour la France en Europe,Liberal and Democratic Reformist Group,Chair
Emmanouil PONIRIDIS,Greece,Panellinio Socialistiko Kinima,Socialist Group,Member
Josep E. PONS GRAU,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Substitute
Mihaela POPA,Romania,Partidul Democrat,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Bernard PONS,France,Rassemblement pour la République,Group of the European Democratic Alliance,Member
Jacques F. POOS,Luxembourg,Parti ouvrier socialiste luxembourgeois,Group of the Party of European Socialists,Member
Nicolae Vlad POPA,Romania,"Alianţei ""Dreptate si Adevar PNL-PD""",Group of the European People's Party (Christian Democrats) and European Democrats,Member
Petre POPEANGĂ,Romania,Partidul România Mare,Non-attached Members,Member
Gustave A. PORDEA,France,Front national,Group of the European Right,Substitute
Giacomo PORRAZZINI,Italy,Partito comunista italiano,Group of the Party of European Socialists,Substitute
Paulo PORTAS,Portugal,Partido Popular,Union for Europe of the Nations Group,Vice-Chair
Manuel PORTO,Portugal,Partido Social Democrata,Group of the European People's Party (Christian-Democratic Group),Substitute
Walter POSCH,Austria,Sozialdemokratische Partei Österreichs,Group of the Party of European Socialists,Substitute
Horst POSDORF,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Jiří POSPÍŠIL,Czechia,Občanská demokratická strana,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Joop POST,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Lars POULSEN,Denmark,Det konservative folkeparti,European Democratic Group,Member
Derek PRAG,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Vice-Chair
Peter N. PRICE,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Member
Christa PRETS,Austria,Sozialdemokratische Partei Österreichs,Socialist Group in the European Parliament,Member
Pierre PRIBETICH,France,Parti socialiste,Socialist Group in the European Parliament,Member
Giovanni PROCACCI,Italy,I Democratici,Group of the Alliance of Liberals and Democrats for Europe,Member
Bartho PRONK,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Mihaïl PROTOPAPADAKIS,Greece,Nea Dimokratia,Group of the European People's Party (Christian-Democratic Group),Member
James L.C. PROVAN,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Marie-Jane PRUVOT,France,Union pour la France en Europe,Liberal and Democratic Group,Member
Sylwia PUSZ,Poland,Sojusz Lewicy Demokratycznej,Group of the Party of European Socialists,Member
Maartje J.A. van PUTTEN,Netherlands,Partij van de Arbeid,Group of the Party of European Socialists,Member
John PURVIS,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian Democrats) and European Democrats,Vice-Chair
Vasile PUȘCAȘ,Romania,Partidul Social Democrat,Socialist Group in the European Parliament,Member
Luís QUEIRÓ,Portugal,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Vice-Chair
Joyce G. QUIN,United Kingdom,Labour Party,Socialist Group,Substitute
Jean QUERBES,France,Parti communiste français,Confederal Group of the European United Left/Nordic Green Left,Member
Eva-Maria QUISTORP,Germany,Bündnis 90/die Grünen,The Green Group in the European Parliament,Member
Renate-Charlotte RABBETHGE,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Substitute
Reinhard RACK,Austria,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Lucien RADOUX,Belgium,Parti socialiste,Socialist Group,Member
Jean-Pierre RAFFARIN,France,Parti républicain,Group of the European People's Party (Christian-Democratic Group),Substitute
Alexander RADWAN,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Bilyana Ilieva RAEVA,Bulgaria,National Movement Simeon II,Group of the Alliance of Liberals and Democrats for Europe,Member
Jean-Pierre RAFFIN,France,Les Verts-Europe-Ecologie,The Green Group in the European Parliament,Member
Georgios RAFTOPOULOS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Member
Thomas RAFTERY,Ireland,Fine Gael Party,Group of the European People's Party (Christian-Democratic Group),Member
Juan de Dios RAMÍREZ HEREDIA,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Substitute
Ona RAINYTÉ-BODARD,Lithuania,Darbo partija,Group of the Alliance of Liberals and Democrats for Europe,Member
Christa RANDZIO-PLATH,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Chair
Patricia E. RAWLINGS,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Substitute
Poul Nyrup RASMUSSEN,Denmark,Socialdemokratiet,Socialist Group in the European Parliament,Member
Daniela RASCHHOFER,Austria,Freiheitliche Partei Österreichs,Non-attached,Substitute
Michel RAYMOND,France,"Chasse, Pêche, Nature, Traditions",Group for a Europe of Democracies and Diversities,Substitute
Imelda Mary READ,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Encarnación REDONDO JIMÉNEZ,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Chair
Tullio Eugenio REGGE,Italy,Partito comunista italiano,Group of the Party of European Socialists,Member
Klaus REHDER,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Substitute
Elisabeth REHN,Finland,Svenska folkpartiet,"Group of the European Liberal, Democrat and Reform Party",Substitute
Mathias REICHHOLD,Austria,Freiheitliche Partei Österreichs,Non-attached,Substitute
Janno REILJAN,Estonia,Eestimaa Rahvalliit,Union for Europe of the Nations Group,Member
Fernando REIS,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Marcel Gh.A.A. REMACLE,Belgium,Parti socialiste,Socialist Group,Member
María Dolores RENAU I MANEN,Spain,Partido Socialista Obrero Español,Socialist Group,Member
Karin RESETARITS,Austria,Liste Dr. Hans-Peter Martin - Für echte Kontrolle in Brüssel,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Jean REY,Belgium,Parti réformateur libéral,Liberal and Democratic Group,Vice-Chair
Marie-Line REYNAUD,France,Parti socialiste,Socialist Group in the European Parliament,Member
Sérgio RIBEIRO,Portugal,Coligação Democrática Unitária: Partido Comunista Português (PCP),Confederal Group of the European United Left - Nordic Green Left,Member
Mónica RIDRUEJO,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Helmut Martin RIEGER,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Member
José RIBEIRO E CASTRO,Portugal,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Susanne RIESS-PASSER,Austria,Freiheitliche Partei Österreichs,Non-attached,Member
Mario RIGO,Italy,Partito socialista italiano,Socialist Group,Substitute
Günter RINSCHE,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Carlo RIPA DI MEANA,Italy,Partito socialista italiano,Confederal Group of the European United Left/Nordic Green Left,Member
Karin RIIS-JØRGENSEN,Denmark,Venstre,Group of the Alliance of Liberals and Democrats for Europe,Member
Carlos RIPOLL Y MARTÍNEZ DE BEDOYA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Klaus RISKÆR PEDERSEN,Denmark,Venstre,Non-attached,Member
Giovanni RIVERA,Italy,Uniti nell'Ulivo,Non-attached Members,Member
Marco RIZZO,Italy,Partito dei Comunisti Italiani,Confederal Group of the European United Left - Nordic Green Left,Substitute
Dame Shelagh ROBERTS,United Kingdom,Conservative and Unionist Party,European Democratic Group,Member
Carlos ROBLES PIQUER,Spain,Coalición Popular,Group of the European People's Party (Christian-Democratic Group),Substitute
Maria ROBSAHM,Sweden,Folkpartiet liberalerna,Group of the Alliance of Liberals and Democrats for Europe,Member
Giovanni ROBUSTI,Italy,Lega Nord per l'indipendenza della Padania,Union for Europe of the Nations Group,Member
Michel ROCARD,France,Parti socialiste,Socialist Group in the European Parliament,Member
Didier ROD,France,Les Verts-Europe-Ecologie,Group of the Greens/European Free Alliance,Substitute
María Soraya RODRÍGUEZ RAMOS,Spain,Partido Socialista Obrero Español,Renew Europe Group,Substitute
Mikko RÖNNHOLM,Finland,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Group of the Party of European Socialists,Substitute
Joanna RØNN,Denmark,Socialdemokratiet,Group of the Party of European Socialists,Member
Bogusław ROGALSKI,Poland,Liga Polskich Rodzin,Union for Europe of the Nations Group,Substitute
Allan R. ROGERS,United Kingdom,Labour Party,Socialist Group,Member
Helena RÖGNEROVÁ,Czechia,no party,"Group of the European Liberal, Democrat and Reform Party",
Luca ROMAGNOLI,Italy,Movimento Sociale Fiamma tricolore,Non-attached Members,Member
Georgios ROMEOS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Member
Domènec ROMERA I ALCÀZAR,Spain,Coalición Popular,Group of the European People's Party (Christian-Democratic Group),Member
Edoardo RONCHI,Italy,Verdi Arcobaleno,The Green Group in the European Parliament,
Yvonne M.C.Th. van ROOY,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian-Democratic Group),Substitute
Alexander de ROO,Netherlands,GroenLinks,Group of the Greens/European Free Alliance,Vice-Chair
Walter ROSA,Portugal,Partido Socialista,Socialist Group,Member
Raúl Miguel ROSADO FERNANDES,Portugal,Partido Popular,Group Union for Europe,Member
Marie-France de ROSE,France,Majorité pour l'autre Europe,Group of the European People's Party (Christian-Democratic Group),Member
Frédéric ROSMINI,France,Parti socialiste,Group of the Party of European Socialists,Member
André ROSSI,France,Union pour la France en Europe,Liberal and Democratic Reformist Group,Member
Wojciech ROSZKOWSKI,Poland,Prawo i Sprawiedliwość,Union for Europe of the Nations Group,Substitute
Claudia ROTH,Germany,Bündnis 90/die Grünen,The Green Group in the European Parliament,Substitute
Mechtild ROTHE,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group in the European Parliament,Substitute
Yiannis ROUBATIS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Substitute
Willi ROTHLEY,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Vice-Chair
Yvette ROUDY,France,Parti socialiste,Socialist Group,Member
Panayotis ROUMELIOTIS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Member
Jacqueline ROUSSEAUX,Belgium,Parti réformateur libéral/Front démocratique des francophones,"Group of the European Liberal, Democrat and Reform Party",Member
Martine ROURE,France,Parti socialiste,Socialist Group in the European Parliament,Member
Christian ROVSING,Denmark,Det konservative folkeparti,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Xavier RUBERT DE VENTÓS,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Luisa Fernanda RUDI UBEDA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Giorgio RUFFOLO,Italy,Partito socialista italiano,Group of the Party of European Socialists,Substitute
Guadalupe RUIZ-GIMÉNEZ AGUILAR,Spain,Centro Democràtico y Social,Liberal and Democratic Reformist Group,Member
